[14:47:13.110] ESP-ROM:esp32s3-20210327
[14:47:13.117] Build:Mar 27 2021
[14:47:13.124] rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
[14:47:13.124] SPIWP:0xee
[14:47:13.124] mode:DIO, clock div:1
[14:47:13.130] load:0x3fce2820,len:0x10cc
[14:47:13.130] load:0x403c8700,len:0xc2c
[14:47:13.132] load:0x403cb700,len:0x30c0
[14:47:13.132] entry 0x403c88b8
[14:47:13.220] --- Sony UniLink SPY (PASSIVE SNIFFER ESP32) ---
[14:47:13.225] Podlacz ESP rownolegle do dzialajacej zmieniarki.
[14:47:13.231] Standard wyjscia dopasowany do logow UNO. Nie zapomnij o konwerterach napiecia!
[14:47:19.906] --- NOWA SEKWENCJA ---
[14:47:19.906] [GAP: 6665882 us] -> 3F
[14:47:19.964] --- NOWA SEKWENCJA ---
[14:47:19.964] [GAP: 49208 us] -> 00 3F FF
[14:47:19.964] [GAP: 8389 us] -> C0
[14:47:21.520] --- NOWA SEKWENCJA ---
[14:47:21.520] [GAP: 1545064 us] -> 18
[14:47:21.525] [GAP: 972 us] -> 10
[14:47:21.526] [GAP: 1007 us] -> 01
[14:47:21.530] [GAP: 1008 us] -> 00
[14:47:21.531] [GAP: 1007 us] -> 29
[14:47:21.533] [GAP: 1006 us] -> 00
[14:47:21.534] [GAP: 5973 us] -> 00
[14:47:21.612] --- NOWA SEKWENCJA ---
[14:47:21.612] [GAP: 53888 us] -> 3B
[14:47:21.618] [GAP: 1008 us] -> 10
[14:47:21.618] [GAP: 1006 us] -> 02
[14:47:21.623] [GAP: 1007 us] -> 11
[14:47:21.623] [GAP: 972 us] -> 5E
[14:47:21.623] [GAP: 1007 us] -> 00
[14:47:21.628] [GAP: 6007 us] -> 10
[14:47:21.630] [GAP: 1007 us] -> 3B
[14:47:21.633] [GAP: 973 us] -> 8C
[14:47:21.633] [GAP: 1007 us] -> 00
[14:47:21.633] [GAP: 1006 us] -> D7
[14:47:21.640] [GAP: 1007 us] -> 05
[14:47:21.642] [GAP: 973 us] -> 1C
[14:47:21.642] [GAP: 1007 us] -> 2E
[14:47:21.646] [GAP: 1007 us] -> 12
[14:47:21.647] [GAP: 1007 us] -> 38
[14:47:21.650] [GAP: 972 us] -> 00
[14:47:21.650] [GAP: 6007 us] -> DB
[14:47:21.655] [GAP: 973 us] -> 10
[14:47:21.656] [GAP: 1006 us] -> 02
[14:47:21.658] [GAP: 1007 us] -> 12
[14:47:21.662] [GAP: 1007 us] -> FF
[14:47:21.663] [GAP: 1007 us] -> 00
[14:47:21.664] [GAP: 5973 us] -> 00
[14:47:21.740] --- NOWA SEKWENCJA ---
[14:47:21.742] [GAP: 37916 us] -> 18
[14:47:21.746] [GAP: 1007 us] -> 10
[14:47:21.746] [GAP: 1007 us] -> 01
[14:47:21.753] [GAP: 1007 us] -> 02
[14:47:21.753] [GAP: 972 us] -> 2B
[14:47:21.753] [GAP: 1007 us] -> 00
[14:47:21.753] [GAP: 6007 us] -> 18
[14:47:21.753] [GAP: 1007 us] -> 70
[14:47:21.764] [GAP: 972 us] -> 8C
[14:47:21.764] [GAP: 1007 us] -> 00
[14:47:21.764] [GAP: 1007 us] -> 14
[14:47:21.770] [GAP: 1007 us] -> 80
[14:47:21.770] [GAP: 972 us] -> 05
[14:47:21.774] [GAP: 1007 us] -> 0A
[14:47:21.774] [GAP: 1007 us] -> 01
[14:47:21.774] [GAP: 1007 us] -> A4
[14:47:21.780] [GAP: 972 us] -> 00
[14:47:21.781] [GAP: 6008 us] -> 71
[14:47:21.783] [GAP: 971 us] -> 10
[14:47:21.783] [GAP: 1007 us] -> 02
[14:47:21.783] [GAP: 1007 us] -> 12
[14:47:21.790] [GAP: 1007 us] -> 95
[14:47:21.790] [GAP: 1007 us] -> 00
[14:47:21.796] [GAP: 5972 us] -> 18
[14:47:21.796] [GAP: 1007 us] -> 71
[14:47:21.796] [GAP: 1007 us] -> 8C
[14:47:21.803] [GAP: 973 us] -> 00
[14:47:21.804] [GAP: 1007 us] -> 15
[14:47:21.806] [GAP: 1006 us] -> 80
[14:47:21.806] [GAP: 1007 us] -> 05
[14:47:21.810] [GAP: 972 us] -> 0A
[14:47:21.814] [GAP: 1008 us] -> 01
[14:47:21.814] [GAP: 1007 us] -> A5
[14:47:21.818] [GAP: 1007 us] -> 00
[14:47:21.820] [GAP: 5972 us] -> 71
[14:47:21.820] [GAP: 1007 us] -> 10
[14:47:21.825] [GAP: 972 us] -> 01
[14:47:21.825] [GAP: 1007 us] -> 05
[14:47:21.830] [GAP: 1007 us] -> 87
[14:47:21.832] [GAP: 1007 us] -> 00
[14:47:21.832] [GAP: 5972 us] -> 18
[14:47:21.832] [GAP: 1007 us] -> 71
[14:47:21.832] [GAP: 1007 us] -> 8D
[14:47:21.840] [GAP: 1007 us] -> 06
[14:47:21.840] [GAP: 972 us] -> 1C
[14:47:21.840] [GAP: 1007 us] -> 06
[14:47:21.846] [GAP: 1007 us] -> 11
[14:47:21.846] [GAP: 1007 us] -> 06
[14:47:21.850] [GAP: 972 us] -> 00
[14:47:21.854] [GAP: 1007 us] -> 39
[14:47:21.854] [GAP: 1007 us] -> 00
[14:47:21.854] [GAP: 5973 us] -> 18
[14:47:21.854] [GAP: 1007 us] -> 10
[14:47:21.864] [GAP: 1007 us] -> 01
[14:47:21.864] [GAP: 971 us] -> 04
[14:47:21.868] [GAP: 1008 us] -> 2D
[14:47:21.870] [GAP: 1007 us] -> 00
[14:47:21.870] [GAP: 6007 us] -> 00
[14:47:21.874] --- NOWA SEKWENCJA ---
[14:47:21.874] [GAP: 37916 us] -> 18
[14:47:21.880] [GAP: 1007 us] -> 10
[14:47:21.882] [GAP: 972 us] -> 01
[14:47:21.882] [GAP: 1007 us] -> 02
[14:47:21.886] [GAP: 1007 us] -> 2B
[14:47:21.887] [GAP: 1007 us] -> 00
[14:47:21.890] [GAP: 5973 us] -> 10
[14:47:21.890] [GAP: 1007 us] -> 30
[14:47:21.890] [GAP: 1006 us] -> 8C
[14:47:21.897] [GAP: 1007 us] -> D0
[14:47:21.897] [GAP: 973 us] -> 9C
[14:47:21.902] [GAP: 1007 us] -> 05
[14:47:21.903] [GAP: 1007 us] -> A8
[14:47:21.904] [GAP: 1006 us] -> 1F
[14:47:21.908] [GAP: 973 us] -> A3
[14:47:21.910] [GAP: 1007 us] -> 0B
[14:47:21.913] [GAP: 1007 us] -> 00
[14:47:21.913] [GAP: 5972 us] -> 31
[14:47:21.915] [GAP: 1007 us] -> 10
[14:47:21.920] [GAP: 1007 us] -> 02
[14:47:21.920] [GAP: 973 us] -> 14
[14:47:21.924] [GAP: 1006 us] -> 57
[14:47:21.925] [GAP: 1007 us] -> 00
[14:47:21.925] [GAP: 6007 us] -> 10
[14:47:21.931] [GAP: 972 us] -> 31
[14:47:21.931] [GAP: 1007 us] -> 8C
[14:47:21.933] [GAP: 1007 us] -> D0
[14:47:21.933] [GAP: 1007 us] -> 9D
[14:47:21.933] [GAP: 972 us] -> 04
[14:47:21.941] [GAP: 1007 us] -> A8
[14:47:21.941] [GAP: 1007 us] -> 1F
[14:47:21.947] [GAP: 1007 us] -> A3
[14:47:21.947] [GAP: 972 us] -> 0B
[14:47:21.947] [GAP: 1007 us] -> 00
[14:47:21.950] [GAP: 5972 us] -> 18
[14:47:21.954] [GAP: 1007 us] -> 10
[14:47:21.954] [GAP: 1007 us] -> 01
[14:47:21.954] [GAP: 1007 us] -> 04
[14:47:21.960] [GAP: 973 us] -> 2D
[14:47:21.963] [GAP: 1007 us] -> 00
[14:47:21.963] [GAP: 6006 us] -> 00
[14:47:21.970] --- NOWA SEKWENCJA ---
[14:47:21.971] [GAP: 37917 us] -> 18
[14:47:21.971] [GAP: 1007 us] -> 10
[14:47:21.976] [GAP: 1007 us] -> 01
[14:47:21.976] [GAP: 972 us] -> 02
[14:47:21.980] [GAP: 1007 us] -> 2B
[14:47:21.980] [GAP: 1007 us] -> 00
[14:47:21.986] [GAP: 6007 us] -> 00
[14:47:21.986] [GAP: 37917 us] -> 18
[14:47:21.986] [GAP: 1007 us] -> 10
[14:47:21.990] [GAP: 972 us] -> 01
[14:47:21.990] [GAP: 1007 us] -> 02
[14:47:21.997] [GAP: 1007 us] -> 2B
[14:47:21.997] [GAP: 1008 us] -> 00
[14:47:21.997] [GAP: 5972 us] -> 00
[14:47:22.003] --- NOWA SEKWENCJA ---
[14:47:22.004] [GAP: 37951 us] -> 18
[14:47:22.006] [GAP: 972 us] -> 10
[14:47:22.009] [GAP: 1008 us] -> 01
[14:47:22.010] [GAP: 1006 us] -> 02
[14:47:22.012] [GAP: 1007 us] -> 2B
[14:47:22.012] [GAP: 1007 us] -> 00
[14:47:22.012] [GAP: 5972 us] -> 00
[14:47:22.952] --- NOWA SEKWENCJA ---
[14:47:22.953] [GAP: 37918 us] -> 18
[14:47:22.956] [GAP: 1007 us] -> 10
[14:47:22.956] [GAP: 1007 us] -> 01
[14:47:22.964] [GAP: 1007 us] -> 03
[14:47:22.964] [GAP: 1006 us] -> 2C
[14:47:22.964] [GAP: 972 us] -> 00
[14:47:22.970] [GAP: 6007 us] -> 00
[14:47:22.970] [GAP: 5972 us] -> 18
[14:47:22.975] [GAP: 1008 us] -> 91
[14:47:22.975] [GAP: 1007 us] -> 8C
[14:47:22.975] [GAP: 971 us] -> 00
[14:47:22.980] [GAP: 1008 us] -> 35
[14:47:22.982] [GAP: 1007 us] -> 80
[14:47:22.984] [GAP: 1006 us] -> FD
[14:47:22.984] [GAP: 973 us] -> E8
[14:47:22.984] [GAP: 1007 us] -> 0C
[14:47:22.990] [GAP: 1007 us] -> A6
[14:47:22.990] [GAP: 1007 us] -> 00
[14:47:22.996] [GAP: 5972 us] -> 00
[14:47:22.996] [GAP: 6007 us] -> 18
[14:47:22.996] [GAP: 1006 us] -> 91
[14:47:23.003] [GAP: 974 us] -> 8D
[14:47:23.003] [GAP: 1006 us] -> 40
[14:47:23.007] [GAP: 1007 us] -> 76
[14:47:23.009] [GAP: 973 us] -> 00
[14:47:23.010] [GAP: 1006 us] -> 00
[14:47:23.010] [GAP: 1007 us] -> 00
[14:47:23.015] [GAP: 1007 us] -> 00
[14:47:23.019] [GAP: 1008 us] -> 76
[14:47:23.020] [GAP: 971 us] -> 00
[14:47:23.020] [GAP: 6007 us] -> 00
[14:47:23.024] [GAP: 5973 us] -> 18
[14:47:23.025] [GAP: 1006 us] -> 21
[14:47:23.030] [GAP: 1007 us] -> 8C
[14:47:23.031] [GAP: 973 us] -> 00
[14:47:23.031] [GAP: 1007 us] -> C5
[14:47:23.034] [GAP: 1007 us] -> 01
[14:47:23.034] [GAP: 1007 us] -> 0D
[14:47:23.040] [GAP: 972 us] -> 00
[14:47:23.040] [GAP: 1007 us] -> 00
[14:47:23.040] [GAP: 1006 us] -> D3
[14:47:23.047] [GAP: 1008 us] -> 00
[14:47:23.048] [GAP: 5972 us] -> 00
[14:47:23.050] [GAP: 6007 us] -> 18
[14:47:23.053] [GAP: 973 us] -> C1
[14:47:23.053] [GAP: 1006 us] -> 8C
[14:47:23.053] [GAP: 1007 us] -> 00
